Version	Extracted	utcTime	weekday	temperature	dewpoint	rain	freezinglevel	uvIndex	totalcloud	lowcloud	medcloud	highcloud	humidity	windspeed	meansealevelpressure	windgustspeed	winddirection	windletter	icon	iconName	chanceofrain	chanceofsnow	dayOfWeek	sunrise	sunset	dayOrNight	seeingIndex	pickeringIndex	transIndex	lightLevel	moonLight	fogRisk	observation	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-12 19:00:00+00:00	Tuesday	14	2	0.0	4780	0	0	0	0	0	52	4	1018	6	269	W	SU	Sunny	0	0	3	05:36:00+00:00	16:31:00+00:00	N	8	8	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-12 20:00:00+00:00	Tuesday	12	1	0.0	4745	0	0	0	0	0	53	4	1018	4	266	W	SU	Sunny	0	0	3	05:36:00+00:00	16:31:00+00:00	N	8	8	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-12 21:00:00+00:00	Tuesday	12	1	0.0	4778	0	0	0	0	0	55	4	1019	4	251	WSW	SU	Sunny	0	0	3	05:36:00+00:00	16:31:00+00:00	N	8	8	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-12 22:00:00+00:00	Tuesday	12	1	0.0	4763	0	0	0	0	0	58	4	1019	4	258	WSW	SU	Sunny	0	0	3	05:36:00+00:00	16:31:00+00:00	N	8	8	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-12 23:00:00+00:00	Tuesday	12	1	0.0	4811	0	0	0	0	0	60	2	1019	6	254	WSW	SU	Sunny	0	0	3	05:36:00+00:00	16:31:00+00:00	N	8	8	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 00:00:00+00:00	Wednesday	11	2	0.0	4849	0	0	0	0	0	63	2	1019	6	251	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	8	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 01:00:00+00:00	Wednesday	11	2	0.0	4916	0	0	0	0	0	65	2	1019	8	254	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	8	8	night	29	4	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 02:00:00+00:00	Wednesday	11	2	0.0	4745	0	0	0	0	0	67	2	1019	11	251	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	8	8	night	28	4	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 03:00:00+00:00	Wednesday	11	2	0.0	4710	0	0	0	0	0	69	2	1019	13	250	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	8	7	night	28	4	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 04:00:00+00:00	Wednesday	10	1	0.0	4796	0	0	0	0	0	71	0	1020	11	267	W	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	8	7	naut	28	4	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 05:00:00+00:00	Wednesday	10	2	0.0	4826	0	0	0	0	0	71	2	1020	11	261	W	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	8	7	day	28	4	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 06:00:00+00:00	Wednesday	12	2	0.0	4809	0	0	0	0	0	59	2	1020	15	241	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	8	8	7	day	27	3	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 07:00:00+00:00	Wednesday	15	2	0.0	4865	2	0	0	0	0	51	4	1020	17	229	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	8	9	7	day	27	3	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 08:00:00+00:00	Wednesday	17	3	0.0	4831	3	0	0	0	0	46	6	1019	15	227	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	8	9	7	day	27	2	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 09:00:00+00:00	Wednesday	19	3	0.0	4742	3	0	0	0	0	43	6	1017	15	238	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	8	8	7	day	26	2	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 10:00:00+00:00	Wednesday	20	3	0.0	4765	4	0	0	0	0	38	8	1016	15	239	WSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	8	9	7	day	26	2	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 11:00:00+00:00	Wednesday	21	3	0.0	4737	4	0	0	0	0	36	11	1015	13	235	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	6	9	7	day	26	1	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 12:00:00+00:00	Wednesday	21	3	0.0	4720	4	0	0	0	0	35	11	1014	15	231	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	6	9	7	day	25	1	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 13:00:00+00:00	Wednesday	21	3	0.0	4697	4	0	0	0	0	36	11	1014	13	228	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	6	9	7	day	0	1	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 14:00:00+00:00	Wednesday	20	4	0.0	4781	3	0	0	0	0	38	11	1014	13	226	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	6	9	8	day	0	1	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 15:00:00+00:00	Wednesday	19	5	0.0	4885	2	0	0	0	0	45	6	1015	13	222	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	D	8	9	8	day	0	2	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 16:00:00+00:00	Wednesday	17	4	0.0	4898	2	0	0	0	0	54	4	1017	11	217	SW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	9	8	naut	0	3	False	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 17:00:00+00:00	Wednesday	16	4	0.0	4880	1	0	0	0	0	58	4	1019	13	201	SSW	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	9	8	night	0	3	True	
0.0.3	2026-05-12 19:32:57.867183+00:00	2026-05-13 18:00:00+00:00	Wednesday	15	5	0.0	4899	1	0	0	0	0	62	4	1020	13	187	S	SU	Sunny	0	0	4	05:37:00+00:00	16:30:00+00:00	N	8	9	7	night	0	3	True	
